Q_index,category,jsd,1-jsd,cosine
Q46,happiness,0.07327007357585419,0.9267299264241458,0.9865657149016013
Q47,happiness,0.08285303978476821,0.9171469602152318,0.9428198730957508
Q48,happiness,0.5243658003958824,0.47563419960411757,0.5501290133123903
Q49,happiness,0.5796764722168866,0.42032352778311344,0.45632543804349346
Q50,happiness,0.690425497978076,0.30957450202192405,0.32237014708927975
Q51,happiness,0.03797056182518539,0.9620294381748146,0.9985079446594416
Q52,happiness,0.21080774897669613,0.7891922510233038,0.8078015543319877
Q53,happiness,0.8560981001111432,0.14390189988885682,0.040324238016348886
Q54,happiness,0.7846997315631123,0.21530026843688765,0.07232601380718699
Q55,happiness,0.023693927542036232,0.9763060724579637,0.9994744980508768
Q56,happiness,0.18453372146701064,0.8154662785329894,0.9334186291960526
Q57,social_capital,0.463177136165554,0.536822863834446,0.44075193862411854
Q58,social_capital,0.10662345015181585,0.8933765498481842,0.9727518034622448
Q59,social_capital,0.22910569100392392,0.770894308996076,0.9145475267079225
Q60,social_capital,0.721553970661017,0.278446029338983,0.1688320999863464
Q61,social_capital,0.6588183814633418,0.3411816185366582,0.2475398234087445
Q62,social_capital,0.552771594383032,0.44722840561696797,0.37697951714206546
Q63,social_capital,0.6300719749197986,0.3699280250802014,0.2827488703882824
Q64,social_capital,0.37581007396772603,0.624189926032274,0.6943901952864899
Q65,social_capital,0.7074953824180488,0.29250461758195123,0.1348498929598642
Q66,social_capital,0.3653453508045502,0.6346546491954498,0.678450582641414
Q67,social_capital,0.10970088612042854,0.8902991138795715,0.8898106761944885
Q68,social_capital,0.41198920899715574,0.5880107910028443,0.5801578713504736
Q69,social_capital,0.30211298673160003,0.6978870132684,0.7914643606545204
Q70,social_capital,0.23045847005191017,0.7695415299480899,0.8540846320218147
Q71,social_capital,0.38788111016224647,0.6121188898377535,0.6486508441558917
Q72,social_capital,0.25023341974600855,0.7497665802539915,0.8999814833283005
Q73,social_capital,0.6300719749197986,0.3699280250802014,0.2993378602400035
Q74,social_capital,0.28844763047048533,0.7115523695295147,0.798696352989926
Q75,social_capital,0.20061333067083897,0.799386669329161,0.8819084262630396
Q76,social_capital,0.20767682929782777,0.7923231707021723,0.872405677155786
Q77,social_capital,0.39581560200335836,0.6041843979966417,0.6270782166032922
Q78,social_capital,0.20157712381343298,0.798422876186567,0.9205966164579859
Q79,social_capital,0.2556173782306434,0.7443826217693565,0.8170158922390496
Q80,social_capital,0.8467159153659728,0.1532840846340272,0.08090283006626967
Q81,social_capital,0.3705482603247024,0.6294517396752977,0.583696224059742
Q82,social_capital,0.24383307361102055,0.7561669263889794,0.8226024296684846
Q83,social_capital,0.24965348726008363,0.7503465127399164,0.8845562872726555
Q84,social_capital,0.25255822899651603,0.747441771003484,0.8782377462791462
Q85,social_capital,0.27085748078724975,0.7291425192127503,0.8509047078743985
Q86,social_capital,0.5948516886298155,0.4051483113701845,0.22036979578285013
Q87,social_capital,0.25255822899651614,0.7474417710034839,0.8718854411911507
Q88,social_capital,0.3356625470553701,0.66433745294463,0.5227391214399162
Q89,social_capital,0.21464965039731124,0.7853503496026888,0.9111973300511339
Q90,social_capital,0.6038846484987098,0.3961153515012902,0.3469903604234634
Q91,social_capital,0.18453372146701064,0.8154662785329894,0.9471555777351855
Q92,social_capital,0.24965348726008363,0.7503465127399164,0.890375351887417
Q176,ethical,0.9719542157868416,0.028045784213158398,0.016265303772636498
Q177,ethical,0.6322296628679848,0.36777033713201523,0.44442080288425356
Q178,ethical,0.5728314132674585,0.42716858673254154,0.5323448309554122
Q179,ethical,0.316711191775703,0.6832888082242969,0.8798322514384318
Q180,ethical,0.36881462324614833,0.6311853767538517,0.8119935326347409
Q181,ethical,0.3772183959179639,0.6227816040820361,0.79322679324931
Q182,ethical,0.9843743932976662,0.015625606702333816,0.007902438152348486
Q183,ethical,0.6782848226253057,0.32171517737469435,0.21789599420548506
Q184,ethical,0.6225864940848068,0.3774135059151932,0.5056616360440526
Q185,ethical,0.3606220317023665,0.6393779682976335,0.7875959514711177
Q186,ethical,0.49983153176658573,0.5001684682334142,0.6463421795109268
Q187,ethical,0.21839720604631208,0.7816027939536879,0.7119141882620935
Q188,ethical,0.5634998761606663,0.4365001238393337,0.5203000162729161
Q189,ethical,0.27747446039865525,0.7225255396013448,0.909536365830913
Q190,ethical,0.35983324412378564,0.6401667558762143,0.8509746264983077
Q191,ethical,0.3550486340950177,0.6449513659049824,0.8275504806657187
Q192,ethical,0.37440484944876123,0.6255951505512387,0.8098226184435637
Q193,ethical,0.7196626895926462,0.28033731040735377,0.19756253421333994
Q194,ethical,0.5167026246726113,0.4832973753273887,0.31034799930800205
Q195,ethical,0.664528724587405,0.335471275412595,0.4578488777430165
Q196,ethical,0.3584625766213393,0.6415374233786607,0.764609184552595
Q197,ethical,0.38859834629249673,0.6114016537075033,0.6972951832477902
Q198,ethical,0.3342762018560347,0.6657237981439653,0.7815011886169817
Q235,political_culture,0.5702978209999433,0.4297021790000567,0.2536027047681181
Q236,political_culture,0.7617633006043031,0.23823669939569692,0.16445618428970338
Q237,political_culture,0.35368811162156677,0.6463118883784332,0.7374394241472245
Q238,political_culture,0.6300719749197986,0.3699280250802014,0.3056821891538713
Q239,political_culture,0.40605987419796213,0.5939401258020378,0.6554986767012798
Q240,political_culture,0.43513488621046514,0.5648651137895349,0.6494354609418888
Q241,political_culture,0.7603654326716246,0.2396345673283754,0.22021626426996918
Q242,political_culture,0.695277698833352,0.304722301166648,0.3752870429506157
Q243,political_culture,0.6475790753643252,0.35242092463567476,0.41012803812716403
Q244,political_culture,0.6588360009320515,0.3411639990679485,0.31125602969189115
Q245,political_culture,0.5926112153649744,0.4073887846350256,0.5736957033473923
Q246,political_culture,0.7951946075231948,0.20480539247680518,0.18972098083805516
Q247,political_culture,0.9690605947946791,0.030939405205320902,0.018108651911468814
Q248,political_culture,0.7731053122375192,0.22689468776248078,0.2530953481166582
Q249,political_culture,0.7267222806542436,0.2732777193457564,0.28155765757029655
Q250,political_culture,0.676139547413164,0.32386045258683605,0.3445859956068655
Q251,political_culture,0.7951946075231946,0.2048053924768054,0.15747509959172964
Q252,political_culture,0.9153881334474848,0.08461186655251518,0.030532073034680494
Q253,political_culture,0.534020420943215,0.465979579056785,0.23663517372246318
Q254,political_culture,0.7589718517893314,0.24102814821066865,0.1340966896700727
Q255,political_culture,0.2696532106633621,0.7303467893366379,0.6413760440118158
Q256,political_culture,0.053913962252109544,0.9460860377478905,0.9895601139761538
Q257,political_culture,0.06954640153911101,0.930453598460889,0.9598990191404736
Q258,political_culture,0.5035216356193485,0.4964783643806515,0.3944331296080247
Q259,political_culture,0.6567980877336259,0.3432019122663741,0.1834348731924103
